Name,Description,Likelihood Of Attack,Prerequisites,Skills Required,Consequences,Mitigations
HTTP Request Smuggling,"An adversary abuses the flexibility and discrepancies in the parsing and interpretation of HTTP Request messages using various HTTP headers, request-line and body parameters as well as message sizes (denoted by the end of message signaled by a given HTTP header) by different intermediary HTTP agents (e.g., load balancer, reverse proxy, web caching proxies, application firewalls, etc.) to secretly send unauthorized and malicious HTTP requests to a back-end HTTP agent (e.g., web server). See CanPrecede relationships for possible consequences.",Medium,"An additional intermediary HTTP agent such as an application firewall or a web caching proxy between the adversary and the second agent such as a web server, that sends multiple HTTP messages over same network connection.Differences in the way the two HTTP agents parse and interpret HTTP requests and its headers.HTTP agents running on HTTP/1.1 that allow for Keep Alive mode, Pipelined queries, and Chunked queries and responses.","SKILL:Detailed knowledge on HTTP protocol: request and response messages structure and usage of specific headers.:LEVEL:MediumSKILL:Detailed knowledge on how specific HTTP agents receive, send, process, interpret, and parse a variety of HTTP messages and headers.:LEVEL:MediumSKILL:Possess knowledge on the exact details in the discrepancies between several targeted HTTP agents in path of an HTTP message in parsing its message structure and individual headers.:LEVEL:Medium",SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized CommandsSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies.Configuration: front-end HTTP agents notice ambiguous requests.Configuration: back-end HTTP agents reject ambiguous requests and close the network connection.Configuration: Disable reuse of back-end connections.Configuration: Use HTTP/2 for back-end connections.Configuration: Use the same web server software for front-end and back-end server.Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses.Configuration: Prioritize Transfer-Encoding header over Content-Length, whenever an HTTP message contains both.Configuration: Disallow HTTP messages with both Transfer-Encoding and Content-Length or Double Content-Length Headers.Configuration: Disallow Malformed/Invalid Transfer-Encoding Headers used in obfuscation, such as: Headers with no space before the value “chunked” Headers with extra spaces Headers beginning with trailing characters Headers providing a value “chunk” instead of “chunked” (the server normalizes this as chunked encoding) Headers with multiple spaces before the value “chunked” Headers with quoted values (whether single or double quotations) Headers with CRLF characters before the value “chunked” Values with invalid charactersConfiguration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers)Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process.Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input."
HTTP Response Splitting,"An adversary manipulates and injects malicious content, in the form of secret unauthorized HTTP responses, into a single HTTP response from a vulnerable or compromised back-end HTTP agent (e.g., web server) or into an already spoofed HTTP response from an adversary controlled domain/site. See CanPrecede relationships for possible consequences.",Medium,"A vulnerable or compromised server or domain/site capable of allowing adversary to insert/inject malicious content that will appear in the server's response to target HTTP agents (e.g., proxies and users' web browsers).Differences in the way the two HTTP agents parse and interpret HTTP requests and its headers.HTTP headers capable of being user-manipulated.HTTP agents running on HTTP/1.0 or HTTP/1.1 that allow for Keep Alive mode, Pipelined queries, and Chunked queries and responses.","SKILL:Detailed knowledge on HTTP protocol: request and response messages structure and usage of specific headers.:LEVEL:MediumSKILL:Detailed knowledge on how specific HTTP agents receive, send, process, interpret, and parse a variety of HTTP messages and headers.:LEVEL:MediumSKILL:Possess knowledge on the exact details in the discrepancies between several targeted HTTP agents in path of an HTTP message in parsing its message structure and individual headers.:LEVEL:Medium",SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized CommandsSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies.Configuration: front-end HTTP agents notice ambiguous requests.Configuration: back-end HTTP agents reject ambiguous requests and close the network connection.Configuration: Disable reuse of back-end connections.Configuration: Use HTTP/2 for back-end connections.Configuration: Use the same web server software for front-end and back-end server.Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses.Configuration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers)Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process.Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input.
Leverage Executable Code in Non-Executable Files,An attack of this type exploits a system's trust in configuration and resource files. When the executable loads the resource (such as an image file or configuration file) the attacker has modified the file to either execute malicious code directly or manipulate the target process (e.g. application server) to execute based on the malicious configuration parameters. Since systems are increasingly interrelated mashing up resources from local and remote sources the possibility of this attack occurring is high.,High,The attacker must have the ability to modify non-executable files consumed by the target software.,SKILL:To identify and execute against an over-privileged system interface:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Design: Enforce principle of least privilegeDesign: Run server interfaces with a non-root account and/or utilize chroot jails or other configuration techniques to constrain privileges even if attacker gains some limited access to commands.Implementation: Perform testing such as pen-testing and vulnerability scanning to identify directories, programs, and interfaces that grant direct access to executables.Implementation: Implement host integrity monitoring to detect any unwanted altering of configuration files.Implementation: Ensure that files that are not required to execute, such as configuration files, are not over-privileged, i.e. not allowed to execute."
Using Unpublished Interfaces or Functionality,"An adversary searches for and invokes interfaces or functionality that the target system designers did not intend to be publicly available. If interfaces fail to authenticate requests, the attacker may be able to invoke functionality they are not authorized for.",Medium,"The architecture under attack must publish or otherwise make available services that clients can attach to, either in an unauthenticated fashion, or having obtained an authentication token elsewhere. The service need not be 'discoverable', but in the event it isn't it must have some way of being discovered by an attacker. This might include listening on a well-known port. Ultimately, the likelihood of exploit depends on discoverability of the vulnerable service.","SKILL:A number of web service digging tools are available for free that help discover exposed web services and their interfaces. In the event that a web service is not listed, the attacker does not need to know much more in addition to the format of web service messages that they can sniff/monitor for.:LEVEL:Low",SCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Authenticating both services and their discovery, and protecting that authentication mechanism simply fixes the bulk of this problem. Protecting the authentication involves the standard means, including: 1) protecting the channel over which authentication occurs, 2) preventing the theft, forgery, or prediction of authentication credentials or the resultant tokens, or 3) subversion of password reset and the like."
Leveraging/Manipulating Configuration File Search Paths,"This pattern of attack sees an adversary load a malicious resource into a program's standard path so that when a known command is executed then the system instead executes the malicious component. The adversary can either modify the search path a program uses, like a PATH variable or classpath, or they can manipulate resources on the path to point to their malicious components. J2EE applications and other component based applications that are built from multiple binaries can have very long list of dependencies to execute. If one of these libraries and/or references is controllable by the attacker then application controls can be circumvented by the attacker.",High,The attacker must be able to write to redirect search paths on the victim host.,SKILL:To identify and execute against an over-privileged system interface:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Design: Enforce principle of least privilegeDesign: Ensure that the program's compound parts, including all system dependencies, classpath, path, and so on, are secured to the same or higher level assurance as the programImplementation: Host integrity monitoring"
Manipulating Opaque Client-based Data Tokens,"In circumstances where an application holds important data client-side in tokens (cookies, URLs, data files, and so forth) that data can be manipulated. If client or server-side application components reinterpret that data as authentication tokens or data (such as store item pricing or wallet information) then even opaquely manipulating that data may bear fruit for an Attacker. In this pattern an attacker undermines the assumption that client side tokens have been adequately protected from tampering through use of encryption or obfuscation.",High,"An attacker already has some access to the system or can steal the client based data tokens from another user who has access to the system.For an Attacker to viably execute this attack, some data (later interpreted by the application) must be held client-side in a way that can be manipulated without detection. This means that the data or tokens are not CRCd as part of their value or through a separate meta-data store elsewhere.",SKILL:If the client site token is obfuscated.:LEVEL:MediumSKILL:If the client site token is encrypted.:LEVEL:High,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"One solution to this problem is to protect encrypted data with a CRC of some sort. If knowing who last manipulated the data is important, then using a cryptographic message authentication code (or hMAC) is prescribed. However, this guidance is not a panacea. In particular, any value created by (and therefore encrypted by) the client, which itself is a malicious value, all the protective cryptography in the world can't make the value 'correct' again. Put simply, if the client has control over the whole process of generating and encoding the value, then simply protecting its integrity doesn't help.Make sure to protect client side authentication tokens for confidentiality (encryption) and integrity (signed hash)Make sure that all session tokens use a good source of randomnessPerform validation on the server side to make sure that client side data tokens are consistent with what is expected."
Using Alternative IP Address Encodings,"This attack relies on the adversary using unexpected formats for representing IP addresses. Networked applications may expect network location information in a specific format, such as fully qualified domains names (FQDNs), URL, IP address, or IP Address ranges. If the location information is not validated against a variety of different possible encodings and formats, the adversary can use an alternate format to bypass application access control.",Medium,The target software must fail to anticipate all of the possible valid encodings of an IP/web address.The adversary must have the ability to communicate with the server.,SKILL:The adversary has only to try IP address format combinations.:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Design: Default deny access control policiesDesign: Input validation routines should check and enforce both input data types and content against a positive specification. In regards to IP addresses, this should include the authorized manner for the application to represent IP addresses and not accept user specified IP addresses and IP address formats (such as ranges)Implementation: Perform input validation for all remote content."
Manipulating Writeable Terminal Devices,This attack exploits terminal devices that allow themselves to be written to by other users. The attacker sends command strings to the target terminal device hoping that the target user will hit enter and thereby execute the malicious command with their privileges. The attacker can send the results (such as copying /etc/passwd) to a known directory and collect once the attack has succeeded.,High,User terminals must have a permissive access control such as world writeable that allows normal users to control data on other user's terminals.,"SKILL:Ability to discover permissions on terminal devices. Of course, brute force can also be used.:LEVEL:Low",SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,Design: Ensure that terminals are only writeable by named owner user and/or administratorDesign: Enforce principle of least privilege
Pretexting,"An adversary engages in pretexting behavior to solicit information from target persons, or manipulate the target into performing some action that serves the adversary's interests. During a pretexting attack, the adversary creates an invented scenario, assuming an identity or role to persuade a targeted victim to release information or perform some action. It is more than just creating a lie; in some cases it can be creating a whole new identity and then using that identity to manipulate the receipt of information.",Medium,The adversary must have the means and knowledge of how to communicate with the target in some manner.The adversary must have knowledge of the pretext that would influence the actions of the specific target.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:TECHNICAL IMPACT:Other:NOTE:Depending on the adversary's intentions and the specific nature their actions/requests, a successful pretexting attack can result in the compromise to the confidentiality of sensitive information in a variety of contexts.","An organization should provide regular, robust cybersecurity training to its employees to prevent successful social engineering attacks."
Using Meta-characters in E-mail Headers to Inject Malicious Payloads,"This type of attack involves an attacker leveraging meta-characters in email headers to inject improper behavior into email programs. Email software has become increasingly sophisticated and feature-rich. In addition, email applications are ubiquitous and connected directly to the Web making them ideal targets to launch and propagate attacks. As the user demand for new functionality in email applications grows, they become more like browsers with complex rendering and plug in routines. As more email functionality is included and abstracted from the user, this creates opportunities for attackers. Virtually all email applications do not list email header information by default, however the email header contains valuable attacker vectors for the attacker to exploit particularly if the behavior of the email client application is known. Meta-characters are hidden from the user, but can contain scripts, enumerations, probes, and other attacks against the user's system.",High,"This attack targets most widely deployed feature rich email applications, including web based email programs.",SKILL:To distribute email:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,"Design: Perform validation on email header dataImplementation: Implement email filtering solutions on mail server or on MTA, relay server.Implementation: Mail servers that perform strict validation may catch these attacks, because metacharacters are not allowed in many header variables such as dns names"
Influence Perception,The adversary uses social engineering to exploit the target's perception of the relationship between the adversary and themselves. This goal is to persuade the target to unknowingly perform an action or divulge information that is advantageous to the adversary.,High,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that influence the perception of the target can result in a wide variety of consequences and negatively affect potentially the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
Influence Perception of Reciprocation,"An adversary uses a social engineering techniques to produce a sense of obligation in the target to perform a certain action or concede some sensitive or key piece of information. Obligation has to do with actions one feels they need to take due to some sort of social, legal, or moral requirement, duty, contract, or promise. There are various techniques for fostering a sense of obligation to reciprocate or concede during ordinary modes of communication. One method is to compliment the target, and follow up the compliment with a question. If performed correctly the target may volunteer a key piece of information, sometimes involuntarily.",Medium,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that influence the perception of the target can result in a wide variety of consequences and negatively affect potentially the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
MIME Conversion,An attacker exploits a weakness in the MIME conversion routine to cause a buffer overflow and gain control over the mail server machine. The MIME system is designed to allow various different information formats to be interpreted and sent via e-mail. Attack points exist when data are converted to MIME compatible format and back.,High,"The target system uses a mail server.Mail server vendor has not released a patch for the MIME conversion routine, the patch itself has a security hole or does not fix the original problem, or the patch has not been applied to the user's system.",SKILL:It may be trivial to cause a DoS via this attack pattern:LEVEL:LowSKILL:Causing arbitrary code to execute on the target system.:LEVEL:High,SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Stay up to date with third party vendor patchesDisable the 7 to 8 bit conversion. This can be done by removing the F=9 flag from all Mailer specifications in the sendmail.cf file. For example, a sendmail.cf file with these changes applied should look similar to (depending on your system and configuration): Mlocal, P=/usr/libexec/mail.local, F=lsDFMAw5:/|@qrmn, S=10/30, R=20/40,T=DNS/RFC822/X-Unix,A=mail -d $u Mprog, P=/bin/sh, F=lsDFMoqeu, S=10/30, R=20/40,D=$z:/,T=X-Unix,A=sh -c $u This can be achieved for the Mlocal and Mprog Mailers by modifying the .mc file to include the following lines: define(`LOCAL_MAILER_FLAGS',ifdef(`LOCAL_MAILER_FLAGS',`translit(LOCAL_MAILER_FLAGS, `9')',`rmn')) define(`LOCAL_SHELL_FLAGS',ifdef(`LOCAL_SHELL_FLAGS',`translit(LOCAL_SHELL_FLAGS, `9')',`eu')) and then rebuilding the sendmail.cf file using m4(1). From Exploiting Software, please see reference below.Use the sendmail restricted shell program (smrsh)Use mail.local"
Influence Perception of Scarcity,"The adversary leverages a perception of scarcity to persuade the target to perform an action or divulge information that is advantageous to the adversary. By conveying a perception of scarcity, or a situation of limited supply, the adversary aims to create a sense of urgency in the context of a target's decision-making process.",High,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that leverage the principle of scarcity can lead to the target performing an action that results in a variety of consequences that negatively affect the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
Influence Perception of Authority,"An adversary uses a social engineering technique to convey a sense of authority that motivates the target to reveal specific information or take specific action. There are various techniques for producing a sense of authority during ordinary modes of communication. One common method is impersonation. By impersonating someone with a position of power within an organization, an adversary may motivate the target individual to reveal some piece of sensitive information or perform an action that benefits the adversary.",High,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that leverage the principle of scarcity can lead to the target performing an action that results in a variety of consequences that negatively affect the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
Influence Perception of Commitment and Consistency,"An adversary uses social engineering to convince the target to do minor tasks as opposed to larger actions. After complying with a request, individuals are more likely to agree to subsequent requests that are similar in type and required effort.",High,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that leverage the principle of scarcity can lead to the target performing an action that results in a variety of consequences that negatively affect the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks.Individuals should avoid complying with suspicious requests."
Influence Perception of Liking,"The adversary influences the target's actions by building a relationship where the target has a liking to the adversary. People are more likely to be influenced by people of whom they are fond, so the adversary attempts to ingratiate themself with the target via actions, appearance, or a combination thereof.",Medium,The adversary must have the means and knowledge of how to communicate with the target in some manner.The adversary must have knowledge of the types of things that the target likes.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that leverage the principle of liking can lead to the target performing an action that results in a variety of consequences that negatively affect the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
Influence Perception of Consensus or Social Proof,"The adversary influences the target's actions by leveraging the inherent human nature to assume behavior of others is appropriate. In situations of uncertainty, people tend to behave in ways they see others behaving. The adversary convinces the target of adopting behavior or actions that is advantageous to the adversary.",Low,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that leverage the principle of liking can lead to the target performing an action that results in a variety of consequences that negatively affect the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
Target Influence via Framing,"An adversary uses framing techniques to contextualize a conversation so that the target is more likely to be influenced by the adversary's point of view. Framing is information and experiences in life that alter the way we react to decisions we must make. This type of persuasive technique exploits the way people are conditioned to perceive data and its significance, while avoiding negative or avoidance responses from the target. Rather than a specific technique framing is a methodology of conversation that slowly encourages the target to adopt to the adversary's perspective. One technique of framing is to avoid the use of the word No and to contextualize responses in a manner that is positive. When performed skillfully the target is much more likely to volunteer information or perform actions favorable to the adversary.",Low,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,SCOPE:Confidentiality:TECHNICAL IMPACT:Other:NOTE:Successful attacks that influence the target via framing into performing an action or sharing sensitive information can result in a variety of consequences that negatively affect the confidentiality of an application or system.,"An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks.Avoid sharing unnecessary information during interactions beyond what is absolutely required for effective communication."
Influence via Incentives,"The adversary incites a behavior from the target by manipulating something of influence. This is commonly associated with financial, social, or ideological incentivization. Examples include monetary fraud, peer pressure, and preying on the target's morals or ethics. The most effective incentive against one target might not be as effective against another, therefore the adversary must gather information about the target's vulnerability to particular incentives.",Low,The adversary must have the means and knowledge of how to communicate with the target in some manner.The adversary must have knowledge of the incentives that would influence the actions of the specific target.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that successfully incentivize the target into performing an action beneficial to the adversary can result in a variety of consequences that negatively affect the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
Influence via Psychological Principles,"The adversary shapes the target's actions or behavior by focusing on the ways human interact and learn, leveraging such elements as cognitive and social psychology. In a variety of ways, a target can be influenced to behave or perform an action through capitalizing on what scholarship and research has learned about how and why humans react to specific scenarios and cues.",Low,The adversary must have the means and knowledge of how to communicate with the target in some manner.,SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low,"SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Other:NOTE:Attacks that successfully influence the target into performing an action via psychological principles can result in a variety of consequences that negatively affect the confidentiality, availability, and/or integrity of an application or system.","An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks."
Exploiting Multiple Input Interpretation Layers,"An attacker supplies the target software with input data that contains sequences of special characters designed to bypass input validation logic. This exploit relies on the target making multiples passes over the input data and processing a layer of special characters with each pass. In this manner, the attacker can disguise input that would otherwise be rejected as invalid by concealing it with layers of special/escape characters that are stripped off by subsequent processing steps. The goal is to first discover cases where the input validation layer executes before one or more parsing layers. That is, user input may go through the following logic in an application: <parser1> --> <input validator> --> <parser2>. In such cases, the attacker will need to provide input that will pass through the input validator, but after passing through parser2, will be converted into something that the input validator was supposed to stop.",Medium,User input is used to construct a command to be executed on the target system or as part of the file name.Multiple parser passes are performed on the data supplied by the user.,"SKILL:Knowledge of various escaping schemes, such as URL escape encoding and XML escape characters.:LEVEL:Medium",SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,An iterative approach to input validation may be required to ensure that no dangerous characters are present. It may be necessary to implement redundant checking across different input validation layers. Ensure that invalid data is rejected as soon as possible and do not continue to work with it.Make sure to perform input validation on canonicalized data (i.e. data that is data in its most standard form). This will help avoid tricky encodings getting past the filters.Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist would not be permitted to enter into the system.
Overflow Binary Resource File,"An attack of this type exploits a buffer overflow vulnerability in the handling of binary resources. Binary resources may include music files like MP3, image files like JPEG files, and any other binary file. These attacks may pass unnoticed to the client machine through normal usage of files, such as a browser loading a seemingly innocent JPEG file. This can allow the adversary access to the execution stack and execute arbitrary code in the target process.",High,Target software processes binary resource files.Target software contains a buffer overflow vulnerability reachable through input from a user-controllable binary resource file.,"SKILL:To modify file, deceive client into downloading, locate and exploit remote stack or heap vulnerability:LEVEL:Medium",SCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,"Perform appropriate bounds checking on all buffers.Design: Enforce principle of least privilegeDesign: Static code analysisImplementation: Execute program in less trusted process space environment, do not allow lower integrity processes to write to higher integrity processesImplementation: Keep software patched to ensure that known vulnerabilities are not available for adversaries to target on host."
Buffer Overflow via Symbolic Links,"This type of attack leverages the use of symbolic links to cause buffer overflows. An adversary can try to create or manipulate a symbolic link file such that its contents result in out of bounds data. When the target software processes the symbolic link file, it could potentially overflow internal buffers with insufficient bounds checking.",High,The adversary can create symbolic link on the target host.The target host does not perform correct boundary checking while consuming data from a resources.,SKILL:An adversary can simply overflow a buffer by inserting a long string into an adversary-modifiable injection vector. The result can be a DoS.:LEVEL:LowSKILL:Exploiting a buffer overflow to inject malicious code into the stack of a software system or even the heap can require a higher skill level.:LEVEL:High,SCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Pay attention to the fact that the resource you read from can be a replaced by a Symbolic link. You can do a Symlink check before reading the file and decide that this is not a legitimate way of accessing the resource.Because Symlink can be modified by an adversary, make sure that the ones you read are located in protected directories.Pay attention to the resource pointed to by your symlink links (See attack pattern named Forced Symlink race), they can be replaced by malicious resources.Always check the size of the input data before copying to a buffer.Use a language or compiler that performs automatic bounds checking.Use an abstraction library to abstract away risky APIs. Not a complete solution.Compiler-based canary mechanisms such as StackGuard, ProPolice and the Microsoft Visual Studio /GS flag. Unless this provides automatic bounds checking, it is not a complete solution.Use OS-level preventative functionality. Not a complete solution."
Creating a Rogue Certification Authority Certificate,"An adversary exploits a weakness resulting from using a hashing algorithm with weak collision resistance to generate certificate signing requests (CSR) that contain collision blocks in their to be signed parts. The adversary submits one CSR to be signed by a trusted certificate authority then uses the signed blob to make a second certificate appear signed by said certificate authority. Due to the hash collision, both certificates, though different, hash to the same value and so the signed blob works just as well in the second certificate. The net effect is that the adversary's second X.509 certificate, which the Certification Authority has never seen, is now signed and validated by that Certification Authority.",Medium,Certification Authority is using a hash function with insufficient collision resistance to generate the certificate hash to be signed,SKILL:Understanding of how to force a hash collision in X.509 certificates:LEVEL:HighSKILL:An attacker must be able to craft two X.509 certificates that produce the same hash value:LEVEL:HighSKILL:Knowledge needed to set up a certification authority:LEVEL:Medium,SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain Privileges,Certification Authorities need to stop using deprecated or cryptographically insecure hashing algorithms to hash the certificates that they are about to sign. Instead they should be using stronger hashing functions such as SHA-256 or SHA-512.
Overflow Variables and Tags,"This type of attack leverages the use of tags or variables from a formatted configuration data to cause buffer overflow. The adversary crafts a malicious HTML page or configuration file that includes oversized strings, thus causing an overflow.",High,The target program consumes user-controllable data in the form of tags or variables.The target program does not perform sufficient boundary checking.,SKILL:An adversary can simply overflow a buffer by inserting a long string into an adversary-modifiable injection vector. The result can be a DoS.:LEVEL:LowSKILL:Exploiting a buffer overflow to inject malicious code into the stack of a software system or even the heap can require a higher skill level.:LEVEL:High,SCOPE:Availability:TECHNICAL IMPACT:Unreliable ExecutionSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Use a language or compiler that performs automatic bounds checking.Use an abstraction library to abstract away risky APIs. Not a complete solution.Compiler-based canary mechanisms such as StackGuard, ProPolice and the Microsoft Visual Studio /GS flag. Unless this provides automatic bounds checking, it is not a complete solution.Use OS-level preventative functionality. Not a complete solution.Do not trust input data from user. Validate all user input."
